date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,6.1,4.6,8,0,,245,7.1,18.5,1013.4,
2024-01-02,4.1,3,5.5,0,,280,4.3,14.8,1014.9,
2024-01-03,6.1,3.9,9,0,,262,5.7,16.7,1008.9,
2024-01-04,6.4,1.8,13.3,0,,301,4.9,20.4,1009.4,
2024-01-05,5.6,4,6.4,1.6,,33,6.7,18.5,1007.5,
2024-01-06,5.8,4.9,6.4,1.3,,252,6.2,20.4,1000,
2024-01-07,7.4,5.9,9,0.4,,270,4.3,16.7,1001.5,
2024-01-08,8.2,7,10,0,,327,4.8,22.2,1010.6,
2024-01-09,6.7,6,8,0,,98,10.3,25.9,1022.4,
2024-01-10,4.4,3,6,0,,103,6,16.7,1027.7,
2024-01-11,2.8,-1.1,8,0,,266,3.6,13,1024.8,
2024-01-12,2.2,-2,8.1,0,,8,2.2,9.3,1023.5,
2024-01-13,0.2,-3,6,0,,274,4.9,14.8,1022.5,
2024-01-14,0.4,-3,5,0,,181,4.1,11.1,1013,
2024-01-15,3.2,0,9.4,0,,266,5.6,16.7,1002.5,
2024-01-16,2.3,-0.3,8,0,,76,5.6,14.8,1009.1,
2024-01-17,3.5,2,4,0.5,,4,4.1,13,1005.7,
2024-01-18,4.6,3,6,1.9,,269,6.5,16.7,998.4,
2024-01-19,5.2,4,7,2.3,,157,9.3,38.9,1008.8,
2024-01-20,3.2,-0.4,8.5,0,,349,4.8,22.2,1028.8,
2024-01-21,0.5,-3.1,5,0,,298,4.1,14.8,1033.8,
2024-01-22,2.1,-3.5,9,0,,293,4.3,13,1030.4,
2024-01-23,4,-1,8.6,0,,15,5.9,13,1028.6,
2024-01-24,4.8,-1,12.3,0,,308,4,14.8,1029,
2024-01-25,4.5,1,9.5,0,,61,6.3,20.4,1025,
2024-01-26,3.3,-1,8,0,,308,3,13,1026.3,
2024-01-27,4.3,-0.4,13,0,,47,6.8,18.5,1029.3,
2024-01-28,2.7,1,5.1,0,,242,4.9,16.7,1036.8,
2024-01-29,1.7,0,4,0,,287,4.1,11.1,1036.9,
2024-01-30,2,-1.4,7.6,0,,258,4,9.3,1036.2,
2024-01-31,3.7,-2,10.2,0,,310,2.6,11.1,1033.7,
2024-02-01,3.2,-1.2,9,0,,345,3.6,11.1,1028.1,
2024-02-02,5.5,-2,13.5,0,,300,4.4,13,1028.6,
2024-02-03,8.6,1,17,0,,301,7,18.5,1026,
2024-02-04,8,2,14,0,,339,3.9,13,1023.9,
2024-02-05,10,4,15.4,0,,221,6.5,13,1023.1,
2024-02-06,8.4,3,13.1,0,,302,4.1,14.8,1022.1,
2024-02-07,10.6,9,14.2,0,,266,5.6,18.5,1014.4,
2024-02-08,10.7,6.6,13.4,0,,356,3.2,16.7,1009.4,
2024-02-09,9.9,9,11,3.7,,102,15.5,42.6,1001.4,
2024-02-10,9.7,8.9,10.4,4.1,,86,12.5,44.5,993.5,
2024-02-11,9.5,7,11.1,2.8,,241,6.1,20.4,993.2,
2024-02-12,7.7,4,12,0,,11,3.7,14.8,1004.5,
2024-02-13,7.9,3.3,15.1,0,,271,4.6,16.7,1017.1,
2024-02-14,8.8,3,15.2,0,,354,3,13,1024.1,
2024-02-15,7.7,3,13,0,,359,2.4,11.1,1023.6,
2024-02-16,9.3,5.4,14.1,0,,324,2.7,11.1,1021.7,
2024-02-17,9.6,3.4,16,0,,5,2.3,11.1,1026.6,
2024-02-18,9.8,3.5,15,0,,16,3,11.1,1030,
2024-02-19,10.3,5.6,15.7,0,,91,4.6,16.7,1024.4,
2024-02-20,11,6,16.5,0,,14,5,16.7,1024.4,
2024-02-21,9.3,4.5,15,0,,11,3.6,13,1023.8,
2024-02-22,9.4,9,10.6,1.7,,75,8.4,40.8,1011.5,
2024-02-23,8.7,7,11,4.9,,29,8.5,42.6,998,
2024-02-24,7.8,5,12,0.5,,94,8.7,25.9,1005.9,
2024-02-25,9,6.5,12,0.1,,54,5.2,24.1,1009.7,
2024-02-26,7,5.7,9,2.9,,56,13.4,35.2,1006.3,
2024-02-27,7.7,6,9,7.3,,343,8.5,24.1,1007.5,
2024-02-28,11.4,8.9,15,1.2,,350,5.3,16.7,1015.9,
2024-02-29,11.7,9,14,0,,3,5.3,14.8,1014.2,
2024-03-01,10.7,10,11.2,2.2,,7,7,16.7,1006.1,
2024-03-02,10.4,9,12,2.6,,75,8.8,37,1008.2,
2024-03-03,10.8,9.8,12,0.4,,98,19.5,44.5,1005.6,
2024-03-04,10.6,9,13.3,1.5,,283,8.4,40.8,1007.5,
2024-03-05,9.9,5,14.3,0.6,,302,6.8,20.4,1011.2,
2024-03-06,9.4,6,13,0,,346,6.3,20.4,1014.3,
2024-03-07,9.7,4.9,14.3,0,,325,4.9,16.7,1016.5,
2024-03-08,8.5,6.9,10.3,1.2,,104,12.2,35.2,1015.1,
2024-03-09,7.7,6,9,1.1,,96,6.3,38.9,1010.8,
2024-03-10,9,6,10,7.2,,87,15.9,48.2,1001.4,
2024-03-11,9.5,7,13,0,,261,7.3,22.2,1005.7,
2024-03-12,11.6,4,20.3,0,,266,7.7,25.9,1011.8,
2024-03-13,11.7,6.3,17,0,,121,4.9,20.4,1016.2,
2024-03-14,11.9,6,18,0,,288,5.4,20.4,1017.7,
2024-03-15,13.2,10.2,17,0,,265,7,20.4,1017.4,
2024-03-16,14.4,9.8,20,0,,259,7.1,22.2,1018.6,
2024-03-17,13.5,8.9,18.1,0,,305,4.3,14.8,1020.9,
2024-03-18,14.3,11.5,19,0,,254,6.8,16.7,1015,
2024-03-19,13.1,11,18,0,,90,7.8,18.5,1017.2,
2024-03-20,13.1,8,18,0,,131,5.6,20.4,1022.1,
2024-03-21,14.9,8,21,0,,270,7.5,25.9,1020.8,
2024-03-22,14.7,9.9,20.3,0,,82,6.1,18.5,1019.7,
2024-03-23,13.8,7,20,0,,301,8.5,50,1010.3,
2024-03-24,13.2,7,18,0,,299,11.9,46.3,1007.4,
2024-03-25,11.3,4,16,0,,34,6.6,29.6,1008,
2024-03-26,9.3,8.1,12,1.2,,6,6.4,25.9,1002.6,
2024-03-27,9.4,7,12,2.5,,43,9,31.5,993.9,
2024-03-28,8.5,6.1,10,1.4,,31,5.1,20.4,1000.7,
2024-03-29,10.3,8.6,13.1,0.6,,346,5.4,24.1,1011.1,
2024-03-30,13.3,9,17.3,1.1,,134,15.7,44.5,1006.8,
2024-03-31,13.4,11,16.4,0,,81,11.4,42.6,1005.5,
2024-04-01,14.4,10.3,19.3,2.1,,100,16.5,53.7,1002.5,
2024-04-02,12.8,5.4,20.1,0,,300,5.4,27.8,1011.9,
2024-04-03,12.2,10.9,13.3,0.3,,13,7,24.1,1015.5,
2024-04-04,13.5,7.5,19,0,,299,5.5,20.4,1019,
2024-04-05,15.8,10,20,0,,268,8,22.2,1022.6,
2024-04-06,16.7,11,23,0,,295,5,18.5,1023.2,
2024-04-07,17.7,11,24,0,,296,4.5,18.5,1021,
2024-04-08,19.3,13,25,0,,38,4.8,18.5,1017.1,
2024-04-09,16.2,14.1,19,2.9,,45,6.3,20.4,1015.2,
2024-04-10,11.3,9.8,14,4.3,,323,9.3,33.3,1018,
2024-04-11,15.5,10.7,22,0,,216,5.7,16.7,1027.6,
2024-04-12,18.2,11,25,0,,326,4.1,16.7,1028.8,
2024-04-13,19.6,13,27,0,,2,3.9,14.8,1026.9,
2024-04-14,21.1,13,29,0,,291,5.1,18.5,1022.4,
2024-04-15,19.4,15,23,0,,279,8.4,29.6,1012.8,
2024-04-16,17.9,13.7,23,0,,314,21.1,57.4,1001.8,
2024-04-17,12.6,7,19,0,,297,11.7,42.6,1005.5,
2024-04-18,10.9,7,15.1,0.2,,80,9.1,33.3,1009.6,
2024-04-19,11.7,4,19,0,,278,6.6,27.8,1014.3,
2024-04-20,14.3,8,18.7,0,,328,16.4,46.3,1009.8,
